id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   s lower case
 1,  504,    0,  TBUR,   typebox upper right
 2,  504, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  504,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  504,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  504,  321,  VHR,    cap-height (right)
10,   89.5,  0,  SPCL,   space left (Vorbreite)
11,  424.5,  0,  SPCR,   space right (Nachbreite)
12,  400,  506,   a1,    anchor 1
13,  400,  506,   c1,    control 1
14,  359,  477.5, c2,    control 2
15,  261,  477.5, a2,    anchor 2
16,  261,  477.5, a3,    anchor 3
17,  168,  477.5, c3,    control 3
18,  104,  542,   c4,    control 4
19,  104,  598,   a4,    anchor 4
20,  104,  598,   a5,    anchor 5
21,  104,  655.5, c5,    control 5
22,  145,  705,   c6,    control 6 #o--#
23,  261,  724.5, a6,    anchor 6 #--x--#
24,  261,  724.5, a7,    anchor 7 #--x--#
25,  382,  744.5, c7,    control 7 #--o# y-0.5
26, 424.5, 803,   c8,    control 8
27, 424.5, 860.5, a8,    anchor 8
28, 424.5, 860.5, a9,    anchor 9
29, 424.5, 924,   c9,    control 9
30,  367,  987.5, c10,   control 10
31,  261,  987.5, a10,   anchor 10
32,  261,  987.5, a11,   anchor 11
33,  148,  987.5, c11,   control 11
34,  89.5, 948,   c12,   control 12
35,  89.5, 948,   a12,   anchor 12
36,    #,    #,   #,     anchor 13
37,    #,    #,   #,     control 13
38,    #,    #,   #,     control 14
39,    #,    #,   #,     anchor 14
40,    #,    #,   #,     anchor 15
41,    #,    #,   #,     control 15
42,    #,    #,   #,     control 16
43,    #,    #,   #,     anchor 16
44,    #,    #,   #,     anchor 17
45,    #,    #,   #,     control 17
46,    #,    #,   #,     control 18
47,    #,    #,   #,     anchor 18
48,    #,    #,   #,     anchor 19
49,    #,    #,   #,     control 19
50,    #,    #,   #,     control 20
51,    #,    #,   #,     anchor 20
52,    #,    #,   #,     anchor 21
53,    #,    #,   #,     control 21
54,    #,    #,   #,     control 22
55,    #,    #,   #,     anchor 22
56,    #,    #,   #,     anchor 23
57,    #,    #,   #,     control 23
58,    #,    #,   #,     control 24
59,    #,    #,   #,     anchor 24
60,    #,    #,   #,     anchor 25
61,    #,    #,   #,     control 25
62,    #,    #,   #,     control 26
63,    #,    #,   #,     anchor 26
