id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   ä a-Umlaut lower case
 1,  624,    0,  TBUR,   typebox upper right
 2,  624, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  624,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  624,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  624,  321,  VHR,    cap-height (right)
10,   94,    0,  SPCL,   space left (Vorbreite)
11,  494,    0,  SPCR,   space right (Nachbreite)
12,  494,  594,   a1,    anchor 1
13,  454,  518,   c1,    control 1
14,  379,  480,   c2,    control 2
15,  310,  480,   a2,    anchor 2
16,  310,  480,   a3,    anchor 3
17,  211,  480,   c3,    control 3
18,  94,   565,   c4,    control 4
19,  94,   728.5, a4,    anchor 4
20,  94,   728.5, a5,    anchor 5
21,  94,   901,   c5,    control 5
22,  211,  984,   c6,    control 6
23,  310,  984,   a6,    anchor 6
24,  310,  984,   a7,    anchor 7
25,  380,  984,   c7,    control 7
26,  455,  947,   c8,    control 8
27,  494,  867,   a8,    anchor 8
28,  495,  486,   a9,    anchor 9
29,  495,  486,   c9,    control 9
30,  495, 980.5,  c10,   control 10
31,  495, 980.5,  a10,   anchor 10
32, 206.5, 293,   a11,   anchor 11 <dia>
33, 206.5, 293,   c11,   control 11
34,  216,  286,   c12,   control 12
35,  216,  286,   a12,   anchor 12
36, 407.5, 293,   a13,   anchor 13 <dia>
37, 407.5, 293,   c13,   control 13
38,  417,  286,   c14,   control 14
39,  417,  286,   a15,   anchor 14
40,    #,    #,   #,     anchor 15
41,    #,    #,   #,     control 15
42,    #,    #,   #,     control 16
43,    #,    #,   #,     anchor 16
44,    #,    #,   #,     anchor 17
45,    #,    #,   #,     control 17
46,    #,    #,   #,     control 18
47,    #,    #,   #,     anchor 18
48,    #,    #,   #,     anchor 19
49,    #,    #,   #,     control 19
50,    #,    #,   #,     control 20
51,    #,    #,   #,     anchor 20
52,    #,    #,   #,     anchor 21
53,    #,    #,   #,     control 21
54,    #,    #,   #,     control 22
55,    #,    #,   #,     anchor 22
56,    #,    #,   #,     anchor 23
57,    #,    #,   #,     control 23
58,    #,    #,   #,     control 24
59,    #,    #,   #,     anchor 24
60,    #,    #,   #,     anchor 25
61,    #,    #,   #,     control 25
62,    #,    #,   #,     control 26
63,    #,    #,   #,     anchor 26
