id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   S upper case
 1,  583,    0,  TBUR,   typebox upper right
 2,  583, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  583,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  583,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  583,  321,  VHR,    cap-height (right)
10,   68.5,  0,  SPCL,   space left (Vorbreite)
11,  489.5,  0,  SPCR,   space right (Nachbreite)
12,  466,  349,   a1,    anchor 1
13,  466,  349,   c1,    control 1
14,  400,  308,   c2,    control 2
15,  288,  308,   a2,    anchor 2
16,  288,  308,   a3,    anchor 3
17,  142,  308,   c3,    control 3
18,  82.5, 408,   c4,    control 4
19,  82.5, 474,   a4,    anchor 4
20,  82.5, 474,   a5,    anchor 5
21,  82.5, 541,   c5,    control 5
22,  118,  603,   c6,    control 6 #o--#
23, 282.5, 640.5, a6,    anchor 6 #--x--# y-0.5
24, 282.5, 640.5, a7,    anchor 7 #--x--# y-0.5
25,  460,  680.5, c7,    control 7 #--o# y-1.0
26, 489.5, 761,   c8,    control 8
27, 489.5, 823,   a8,    anchor 8
28, 489.5, 823,   a9,    anchor 9
29, 489.5, 902.5, c9,    control 9
30,  418,  994,   c10,   control 10
31,  276,  994,   a10,   anchor 10
32,  276,  994,   a11,   anchor 11
33,  136,  994,   c11,   control 11
34,  68.5, 943,   c12,   control 12
35,  68.5, 943,   a12,   anchor 12
36,    #,    #,   #,     anchor 13
37,    #,    #,   #,     control 13
38,    #,    #,   #,     control 14
39,    #,    #,   #,     anchor 14
40,    #,    #,   #,     anchor 15
41,    #,    #,   #,     control 15
42,    #,    #,   #,     control 16
43,    #,    #,   #,     anchor 16
44,    #,    #,   #,     anchor 17
45,    #,    #,   #,     control 17
46,    #,    #,   #,     control 18
47,    #,    #,   #,     anchor 18
48,    #,    #,   #,     anchor 19
49,    #,    #,   #,     control 19
50,    #,    #,   #,     control 20
51,    #,    #,   #,     anchor 20
52,    #,    #,   #,     anchor 21
53,    #,    #,   #,     control 21
54,    #,    #,   #,     control 22
55,    #,    #,   #,     anchor 22
56,    #,    #,   #,     anchor 23
57,    #,    #,   #,     control 23
58,    #,    #,   #,     control 24
59,    #,    #,   #,     anchor 24
60,    #,    #,   #,     anchor 25
61,    #,    #,   #,     control 25
62,    #,    #,   #,     control 26
63,    #,    #,   #,     anchor 26
