id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   ? Questionmark (upper case)
 1,  587,    0,  TBUR,   typebox upper right
 2,  587, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  587,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  587,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  587,  321,  VHR,    cap-height (right)
10,  159,    0,  SPCL,   space left (Vorbreite)
11,  490,    0,  SPCR,   space right (Nachbreite)
12,  159,  357.5, a1,    anchor 1
13,  159,  357.5, c1,    control 1
14,  209,  326,   c2,    control 2
15, 253.5, 314,   a2,    anchor 2
16, 253.5, 314,   a3,    anchor 3
17,  263,  311.5, c3,    control 3
18,  290,  304.5, c4,    control 4
19,  325,  304.5, a4,    anchor 4
20,  325,  304.5, a5,    anchor 5
21,  443,  304.5, c5,    control 5
22,  490,  376,   c6,    control 6
23,  490,  445,   a6,    anchor 6
24,  490,  445,   a7,    anchor 7
25,  490,  486,   c7,    control 7
26,  471,  514,   c8,    control 8  #o--#
27, 460.5, 525,   a8,    anchor 8  #--x--#
28, 460.5, 525,   a9,    anchor 9  #--x--#
29,  446,  543,   c9,    control 9  #--o#
30,  391,  598,   c10,   control 10  #o--#
31,  373,  614,   a10,   anchor 10  #--x--#
32,  373,  614,   a11,   anchor 11  #--x--#
33,  357,  630,   c11,   control 11  #--o#
34,  314,  664,   c12,   control 12
35,  314,  726,   a12,   anchor 12
36,  314,  726,   a13,   anchor 13
37,  314,  726,   c13,   control 13
38,  314,  815.5, c14,   control 14
39,  314,  815.5, a14,   anchor 14
40,  312,  978,   a15,   anchor 15 <dot>
41,  312,  978,   c15,   control 15
42,  312,  985.5, c16,   control 16
43,  312,  985.5, a16,   anchor 16
44,    #,    #,   #,     anchor 17
45,    #,    #,   #,     control 17
46,    #,    #,   #,     control 18
47,    #,    #,   #,     anchor 18
48,    #,    #,   #,     anchor 19
49,    #,    #,   #,     control 19
50,    #,    #,   #,     control 20
51,    #,    #,   #,     anchor 20
52,    #,    #,   #,     anchor 21
53,    #,    #,   #,     control 21
54,    #,    #,   #,     control 22
55,    #,    #,   #,     anchor 22
56,    #,    #,   #,     anchor 23
57,    #,    #,   #,     control 23
58,    #,    #,   #,     control 24
59,    #,    #,   #,     anchor 24
60,    #,    #,   #,     anchor 25
61,    #,    #,   #,     control 25
62,    #,    #,   #,     control 26
63,    #,    #,   #,     anchor 26
