id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   t2_uc210723 (100823)
 1,  570,    0,  TBUR,   typebox upper right
 2,  570, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  570,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  570,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  570,  321,  VHR,    cap-height (right)
10,   56,    0,  SPCL,   space left (Vorbreite)
11,  514,  0,  SPCR,   space right (Nachbreite)
12,  285,  322,   a1,    anchor 1
13,  285,  322,   c1,    control 1
14,  285,  985.5, c2,    control 2
15,  285,  985.5, a2,    anchor 2
16,   56,  321,   a3,    anchor 3
17,   56,  321,   c3,    control 3
18,  514,  321,   c4,    control 4
19,  514,  321,   a4,    anchor 4
