id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   k_uc 06-AUG-23
 1,  632,    0,  TBUR,   typebox upper right
 2,  632, 1480, TBLR,    typebox lower right
 3,    0, 1480, TBLL,    typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  632,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  632,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  632,  321,  VHR,    cap-height (right)
10,  115,    0,  SPCL,   space left (Vorbreite)
11,  557,    0,  SPCR,   space right (Nachbreite)
12,  115,  317,   a1,    anchor 1
13,  115,  317,   c1,    control 1
14,  115,  985.5, c2,    control 2
15,  115,  985.5, a2,    anchor 2
16,  115,  714.5, a3,    anchor 3
17,  115,  714.5, c3,    control 3
18, 531.5, 316.5, c4,    control 4
19, 531.5, 316.5, a4,    anchor 4
20,  244,  592.5, a5,    anchor 5
21,  244,  592.5, c5,    control 5
22,  557,  985.5, c6,    control 6
23,  557,  985.5, a6,    anchor 6
