id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   w_uc (0808239
 1, 1000,    0,  TBUR,   typebox upper right
 2, 1000, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5, 1000,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7, 1000,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9, 1000,  321,  VHR,    cap-height (right)
10,   86,    0,  SPCL,   space left (Vorbreite)
11,  922,    0,  SPCR,   space right (Nachbreite)
12,   86,  317.5, a1,    anchor 1
13,   86,  317.5, c1,    control 1
14,  300,  985.5, c2,    control 2
15,  300,  985.5, a2,    anchor 2
16,  300,  985.5, a3,    anchor 3
17,  300,  985.5, c3,    control 3
18,  504,  318,   c4,    control 4
19,  504,  318,   a4,    anchor 4
20,  504,  318,   a5,    anchor 5
21,  504,  318,   c5,    control 5
22,  708,  985.5, c6,    control 6
23,  708,  985.5, a6,    anchor 6
24,  708,  985.5, a7,    anchor 7
25,  708,  985.5, c7,    control 7
26,  922,  317.5, c8,    control 8
27,  922,  317.5, a8,    anchor 8
