id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   q_lc (080823)
 1,  597,    0,  TBUR,   typebox upper right
 2,  597, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  597,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  597,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  597,  321,  VHR,    cap-height (right)
10,   88,    0,  SPCL,   space left (Vorbreite)
11,  489,    0,  SPCR,   space right (Nachbreite)
12,  488,  594,   a1,    anchor 1
13,  447,  518,   c1,    control 1
14,  373,  480,   c2,    control 2
15,  304,  480,   a2,    anchor 2
16,  304,  480,   a3,    anchor 3
17,  205,  480,   c3,    control 3
18,   88,  565,   c4,    control 4
19,   88, 728.5,  a4,    anchor 4
20,   88, 728.5,  a5,    anchor 5
21,   88,  901,   c5,    control 5
22,  205,  984,   c6,    control 6
23,  304,  984,   a6,    anchor 6
24,  304,  984,   a7,    anchor 7
25,  374,  984,   c7,    control 7
26,  448,  946,   c8,    control 8
27,  489,  867,   a8,    anchor 8
28,  489,  486,   a9,    anchor 9
29,  489,  486,   c9,    control 9
30,  489, 1211,   c10,   control 10
31,  489, 1211,   a10,   anchor 10
