id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   ialt2_uc (100823)
 1,  390,    0,  TBUR,   typebox upper right
 2,  390, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  390,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  390,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  390,  321,  VHR,    cap-height (right)
10,   70,    0,  SPCL,   space left (Vorbreite)
11,  318,    0,  SPCR,   space right (Nachbreite)
12,  194,  322,   a1,    anchor 1
13,  194,  322,   c1,    control 1
14,  194,  981,   c2,    control 2
15,  194,  981,   a2,    anchor 2
16,   70,  321,   a3,    anchor 3
17,   70,  321,   c3,    control 3
18,  318,  321,   c4,    control 4
19,  318,  321,   a4,    anchor 4
20,   70,  982,   a5,    anchor 5
21,   70,  982,   c5,    control 5
22,  318,  982,   c6,    control 6
23,  318,  982,   a6,    anchor 6
