id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   m2_uc (080823)
 1,  923,    0,  TBUR,   typebox upper right
 2,  923, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  923,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  923,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  923,  321,  VHR,    cap-height (right)
10,  105,    0,  SPCL,   space left (Vorbreite)
11,  832,    0,  SPCR,   space right (Nachbreite)
12,  105,  985.5, a1,    anchor 1
13,  105,  985.5, c1,    control 1
14,  199,  317.5, c2,    control 2
15,  199,  317.5, a2,    anchor 2
16,  199,  317.5, a3,    anchor 3
17,  199,  317.5, c3,    control 3
18, 468.5, 985,   c4,    control 4
19, 468.5, 985,   a4,    anchor 4
20, 468.5, 985,   a5,    anchor 5
21, 468.5, 985,   c5,    control 5
22,  738,  317.5, c6,    control 6
23,  738,  317.5, a6,    anchor 6
24,  738,  317.5, a7,    anchor 7
25,  738,  317.5, c7,    control 7
26,  832,  985.5, c8,    control 8
27,  832,  985.5, a8,    anchor 8
