id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   l2_lc (100823)
 1,  348,    0,  TBUR,   typebox upper right
 2,  348, 1480, TBLR,    typebox lower right
 3,    0, 1480, TBLL,    typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  348,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  348,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  348,  321,  VHR,    cap-height (right)
10,  146,    0,  SPCL,   space left (Vorbreite)
11,  271.5,  0,  SPCR,   space right (Nachbreite)
12,  146,  277,   a1,    anchor 1
13,  146,  277,   c1,    control 1
14,  146,  797,   c2,    control 2
15,  146,  863,   a2,    anchor 2
16,  146,  863,   a3,    anchor 3
17,  146,  927.5, c3,    control 3
18, 199.5, 982,   c4,    control 4
19,  265,  982,   a4,    anchor 4
20,  265,  982,   a5,    anchor 5
21,  265,  982,   c5,    control 5
22, 271.5, 982,   c6,    control 6
23, 271.5, 982,   a6,    anchor 6
